indice_original,precio_real,prediccion,error,error_absoluto,error_pct,conjunto
1151,538000.0,490046.44,-47953.562,47953.562,-8.913301,Train
719,385000.0,340915.38,-44084.625,44084.625,-11.450552,Train
290,410000.0,373657.56,-36342.438,36342.438,-8.864009,Train
537,555000.0,519134.88,-35865.125,35865.125,-6.462185,Train
208,501837.0,466413.62,-35423.375,35423.375,-7.058741,Train
539,625000.0,590672.75,-34327.25,34327.25,-5.49236,Train
173,745000.0,711837.94,-33162.062,33162.062,-4.4512835,Train
736,345000.0,315827.56,-29172.438,29172.438,-8.455779,Train
763,440000.0,411248.3,-28751.688,28751.688,-6.5344744,Train
882,466500.0,440221.5,-26278.5,26278.5,-5.633119,Train
751,402861.0,376863.62,-25997.375,25997.375,-6.4531875,Train
415,94750.0,117301.36,22551.36,22551.36,23.800907,Train
491,426000.0,403508.28,-22491.719,22491.719,-5.2797465,Train
145,485000.0,462638.88,-22361.125,22361.125,-4.6105413,Train
59,380000.0,358438.25,-21561.75,21561.75,-5.6741447,Train
964,235000.0,214230.56,-20769.438,20769.438,-8.838058,Train
272,333168.0,313131.7,-20036.312,20036.312,-6.0138764,Train
96,340000.0,320211.56,-19788.438,19788.438,-5.8201284,Train
314,299800.0,280371.53,-19428.469,19428.469,-6.4804764,Train
1115,279500.0,260707.23,-18792.766,18792.766,-6.7237086,Train
830,342643.0,324118.62,-18524.375,18524.375,-5.4063196,Train
495,160000.0,141899.5,-18100.5,18100.5,-11.312813,Train
453,269790.0,287200.44,17410.438,17410.438,6.4533296,Train
416,320000.0,303937.25,-16062.75,16062.75,-5.0196095,Train
1093,412500.0,396501.4,-15998.594,15998.594,-3.878447,Train
274,354000.0,338016.5,-15983.5,15983.5,-4.515113,Train
833,309000.0,293257.53,-15742.469,15742.469,-5.0946503,Train
482,320000.0,304370.0,-15630.0,15630.0,-4.884375,Train
748,228950.0,213345.22,-15604.781,15604.781,-6.815803,Train
580,242000.0,226460.84,-15539.156,15539.156,-6.421139,Train
514,84500.0,99991.914,15491.914,15491.914,18.333626,Train
109,402000.0,386908.12,-15091.875,15091.875,-3.7541978,Train
845,86000.0,100954.37,14954.367,14954.367,17.3888,Train
817,375000.0,360151.5,-14848.5,14848.5,-3.9596,Train
601,37900.0,52425.883,14525.883,14525.883,38.326866,Train
960,359100.0,344675.16,-14424.844,14424.844,-4.0169435,Train
484,76500.0,90480.66,13980.656,13980.656,18.275368,Train
875,91500.0,105476.19,13976.1875,13976.1875,15.274522,Train
103,446261.0,432559.3,-13701.6875,13701.6875,-3.0703304,Train
138,62383.0,75886.4,13503.398,13503.398,21.64596,Train
86,85400.0,98731.16,13331.156,13331.156,15.610253,Train
206,52000.0,64885.25,12885.25,12885.25,24.779327,Train
847,272000.0,259263.06,-12736.9375,12736.9375,-4.682698,Train
1126,378500.0,365839.44,-12660.5625,12660.5625,-3.3449306,Train
913,124500.0,137137.67,12637.672,12637.672,10.150741,Train
724,239000.0,226403.16,-12596.844,12596.844,-5.270646,Train
1060,394432.0,382349.3,-12082.6875,12082.6875,-3.0633132,Train
902,256000.0,243974.78,-12025.219,12025.219,-4.697351,Train
1152,100000.0,111978.695,11978.695,11978.695,11.978695,Train
137,263000.0,251048.22,-11951.781,11951.781,-4.5444036,Train
877,97500.0,109423.73,11923.727,11923.727,12.229463,Train
478,97000.0,108751.11,11751.109,11751.109,12.114547,Train
920,385000.0,396667.62,11667.625,11667.625,3.030552,Train
1100,112500.0,124113.11,11613.109,11613.109,10.322764,Train
640,335000.0,346605.78,11605.781,11605.781,3.4644122,Train
383,280000.0,291575.28,11575.281,11575.281,4.134029,Train
540,290000.0,278679.22,-11320.781,11320.781,-3.9037178,Train
909,350000.0,338694.06,-11305.9375,11305.9375,-3.2302678,Train
432,305900.0,294621.1,-11278.906,11278.906,-3.687122,Train
180,110000.0,121226.55,11226.547,11226.547,10.205953,Train
364,190000.0,178786.47,-11213.531,11213.531,-5.9018583,Train
1165,115000.0,126185.55,11185.547,11185.547,9.726563,Train
504,122000.0,133065.33,11065.328,11065.328,9.069941,Train
866,430000.0,419035.12,-10964.875,10964.875,-2.5499709,Train
335,287000.0,276131.12,-10868.875,10868.875,-3.7870646,Train
358,107000.0,117819.17,10819.172,10819.172,10.111376,Train
1017,315750.0,304939.0,-10811.0,10811.0,-3.4239113,Train
1066,83500.0,94181.625,10681.625,10681.625,12.792365,Train
