lr,dropout,weight_decay,val_rmse_log,val_rmse_usd,best_epoch,epochs_trained,time_sec
0.0005,0.1,0.0001,0.5010400448404123,75090.26493229123,101,122,4.6
0.001,0.2,0.0,0.4466762918650906,76170.11791841738,101,122,4.7
0.001,0.1,0.0001,0.533931872692059,78692.10358325328,43,64,2.6
0.0005,0.1,0.0,0.617090509095112,80488.2162636537,43,64,2.4
0.0005,0.2,0.0001,0.5352464560848837,87714.20107032014,74,95,3.7
0.001,0.2,0.0001,0.5471769547782686,88449.273244175,43,64,2.4
0.0005,0.0,0.0,0.5288099135546828,88816.25335762433,43,64,2.3
0.0005,0.1,0.001,0.6166602923894722,89112.87224593878,43,64,2.4
0.0005,0.0,0.001,0.42417943331911273,89530.73723920941,114,135,4.9
0.0005,0.2,0.001,0.5391958393861324,91065.04997276484,74,95,3.6
0.0001,0.1,0.0,0.6937770867978276,91341.92052212503,164,185,7.5
0.001,0.2,0.001,0.45709639468135627,91487.97360928026,86,107,4.0
0.0005,0.0,0.0001,0.4106374708452299,94353.48751567028,114,135,5.0
0.001,0.1,0.001,0.4725680492172292,95191.67000716882,80,101,4.3
0.0001,0.1,0.001,0.7404276178041049,97118.81067274965,139,160,6.4
0.0005,0.2,0.0,0.697993182813052,98038.89856335531,43,64,2.4
0.001,0.0,0.001,0.3821420377335697,99804.31642882644,114,135,5.1
0.0001,0.2,0.0,0.8318390704423938,101967.00160605149,180,201,7.6
0.0001,0.2,0.001,0.8271326274344113,101968.11765216046,180,201,8.0
0.0001,0.2,0.0001,0.8398694359759075,103611.9192681244,180,201,7.7
0.0001,0.1,0.0001,0.7539782311133266,107052.85320315602,139,160,6.7
0.001,0.1,0.0,0.4095658746050885,109555.72244774655,97,118,4.6
0.001,0.0,0.0001,0.5022078037681672,185350.70172776683,51,72,2.7
0.0001,0.0,0.0001,0.6837538271521443,400114.60017552326,234,250,9.2
0.0001,0.0,0.0,0.7554713592677569,771307.637351817,186,207,7.5
0.0001,0.0,0.001,0.7388412969527948,897539.2522822227,211,232,9.0
0.001,0.0,0.0,0.6107059816877034,1331356.3213110713,23,44,1.6
