lr,dropout,weight_decay,val_rmse,train_rmse_final,gap,epochs,time_sec
0.0005,0.1,0.0001,0.2792564630508423,0.4327040910720825,0.15344762802124023,111,9.4
0.001,0.1,0.001,0.29320064187049866,0.2839559316635132,-0.009244710206985474,67,5.6
0.001,0.1,0.0001,0.32258230447769165,0.3915331959724426,0.06895089149475098,55,4.8
0.0005,0.2,0.0001,0.33439645171165466,0.3298419713973999,-0.004554480314254761,129,10.3
0.0005,0.2,0.001,0.36240246891975403,0.5026307106018066,0.1402282416820526,122,10.5
0.001,0.2,0.0001,0.39609354734420776,0.45620468258857727,0.06011113524436951,62,5.0
0.0005,0.1,0.001,0.39982667565345764,0.38584190607070923,-0.013984769582748413,69,5.8
0.001,0.2,0.001,0.42909473180770874,0.4357437193393707,0.006648987531661987,52,4.2
0.0005,0.3,0.0001,0.43810713291168213,0.506348729133606,0.06824159622192383,177,14.6
0.0001,0.1,0.0001,0.4413054585456848,0.4363558292388916,-0.004949629306793213,200,16.7
0.001,0.3,0.001,0.4502227306365967,0.4583779573440552,0.008155226707458496,93,7.8
0.0005,0.3,0.001,0.46619629859924316,0.5757774710655212,0.10958117246627808,170,14.0
0.0001,0.1,0.001,0.5713552832603455,0.5911383628845215,0.019783079624176025,200,16.4
0.0001,0.2,0.001,0.61581951379776,0.7014511823654175,0.08563166856765747,200,16.2
0.0001,0.2,0.0001,0.6674414873123169,0.6268230080604553,-0.04061847925186157,200,16.8
0.001,0.3,0.0001,0.675164520740509,0.6627324223518372,-0.012432098388671875,49,4.0
0.0001,0.3,0.001,1.1022998094558716,1.0630521774291992,-0.03924763202667236,200,16.4
0.0001,0.3,0.0001,1.415813684463501,1.3939852714538574,-0.021828413009643555,200,16.6
