lr,dropout,weight_decay,batch_size,max_epochs,patience,RMSE_USD,best_epoch
0.001,0.1,0.0001,32,600,50,22500.0859375,109
0.002,0.0,0.0,32,600,50,22699.716796875,40
0.002,0.1,0.001,32,600,50,24024.546875,71
0.001,0.0,0.0,32,600,50,25448.775390625,33
0.001,0.0,0.0001,32,600,50,25836.560546875,20
0.002,0.1,0.0,32,600,50,25866.6640625,31
0.001,0.0,0.001,32,600,50,26183.115234375,20
0.001,0.1,0.001,32,600,50,26338.458984375,63
0.0003,0.1,0.0001,32,600,50,26998.85546875,49
0.0003,0.1,0.001,32,600,50,27223.296875,49
0.002,0.0,0.001,32,600,50,27300.044921875,48
0.0003,0.1,0.0,32,600,50,27368.138671875,49
0.002,0.1,0.0001,32,600,50,27405.09765625,24
0.002,0.0,0.0001,32,600,50,27451.419921875,13
0.001,0.1,0.0,32,600,50,27706.650390625,24
0.0003,0.0,0.001,32,600,50,27996.978515625,22
0.0003,0.0,0.0001,32,600,50,28232.841796875,22
0.0003,0.0,0.0,32,600,50,28282.28515625,34
