lr,dropout,weight_decay,batch_size,max_epochs,patience,RMSE_USD,best_epoch
0.002,0.2,0.0001,32,600,50,23768.275390625,33
0.002,0.2,0.0,32,600,50,24123.939453125,45
0.002,0.1,0.0001,32,600,50,24638.4375,72
0.002,0.1,0.001,32,600,50,24654.048828125,10
0.002,0.2,0.001,32,600,50,25045.2578125,20
0.002,0.1,0.0,32,600,50,25104.8203125,20
0.002,0.0,0.0,32,600,50,25341.09375,33
0.002,0.0,0.001,32,600,50,25756.703125,17
0.001,0.1,0.001,32,600,50,25913.654296875,14
0.001,0.1,0.0,32,600,50,25958.873046875,14
0.001,0.2,0.0001,32,600,50,25982.322265625,33
0.001,0.1,0.0001,32,600,50,26184.931640625,14
0.0003,0.1,0.001,32,600,50,26274.490234375,33
0.001,0.0,0.0001,32,600,50,26299.31640625,8
0.001,0.0,0.0,32,600,50,26330.43359375,8
0.0003,0.1,0.0,32,600,50,26367.3125,33
0.001,0.0,0.001,32,600,50,26383.26953125,8
0.0003,0.1,0.0001,32,600,50,26402.873046875,33
0.001,0.2,0.001,32,600,50,26414.263671875,9
0.001,0.2,0.0,32,600,50,26459.703125,10
0.002,0.0,0.0001,32,600,50,26904.0625,8
0.0003,0.0,0.001,32,600,50,27132.48046875,22
0.0003,0.0,0.0001,32,600,50,27136.044921875,22
0.0003,0.0,0.0,32,600,50,27170.2265625,22
0.0003,0.2,0.001,32,600,50,27201.783203125,25
0.0003,0.2,0.0001,32,600,50,27214.4140625,25
0.0003,0.2,0.0,32,600,50,27243.408203125,22
